loan_amnt,annual_inc,term,dti,fico,inq_last_6mths,open_acc,revol_util,pub_rec_bankruptcies,y_not_paid,emp_len_years,home_ownership_MORTGAGE,home_ownership_OWN,home_ownership_RENT,purpose_car,purpose_credit_card,purpose_debt_consolidation,purpose_home_improvement,purpose_house,purpose_major_purchase,purpose_medical,purpose_moving,purpose_other,purpose_renewable_energy,purpose_small_business,purpose_vacation
23100.0,146500.0,60.0,21.82,672.0,0.0,8.0,96.0,0.0,0,5,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
7450.0,49000.0,36.0,16.63,687.0,0.0,6.0,64.5,1.0,0,9,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
24000.0,55000.0,36.0,17.5,722.0,0.0,13.0,21.6,0.0,0,10,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
6000.0,45000.0,36.0,33.7,687.0,2.0,12.0,40.7,0.0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
25000.0,75000.0,60.0,17.94,692.0,0.0,12.0,50.4,0.0,1,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
20000.0,91676.0,60.0,20.88,707.0,0.0,11.0,95.4,0.0,1,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
13175.0,58000.0,60.0,30.35,672.0,0.0,4.0,101.1,0.0,1,10,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
7975.0,20000.0,36.0,14.89,692.0,0.0,6.0,25.7,0.0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
11525.0,140000.0,36.0,8.37,692.0,0.0,9.0,16.5,0.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
15000.0,40000.0,36.0,20.34,722.0,0.0,11.0,33.8,0.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
10000.0,54000.0,36.0,15.96,712.0,0.0,10.0,86.7,0.0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
30000.0,180000.0,36.0,13.76,662.0,1.0,11.0,50.5,0.0,1,6,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
19150.0,58600.0,60.0,31.5,717.0,2.0,17.0,54.2,0.0,0,7,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
20000.0,90000.0,36.0,12.64,757.0,0.0,10.0,9.3,0.0,0,5,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
18400.0,40000.0,36.0,18.9,727.0,1.0,16.0,21.4,0.0,0,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
9000.0,78000.0,36.0,30.26,832.0,0.0,19.0,6.6,0.0,0,7,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
9000.0,30000.0,36.0,18.39,682.0,1.0,10.0,37.2,2.0,0,8,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
19800.0,45000.0,60.0,34.32,667.0,0.0,10.0,47.3,2.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
12000.0,70000.0,36.0,22.58,687.0,1.0,25.0,34.5,0.0,0,7,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
35000.0,105000.0,36.0,13.25,667.0,0.0,8.0,74.5,0.0,0,6,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
35000.0,130000.0,60.0,10.97,712.0,0.0,18.0,56.2,0.0,0,10,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
7200.0,87300.0,36.0,13.35,707.0,0.0,19.0,44.0,0.0,0,10,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
14400.0,85000.0,36.0,22.63,707.0,0.0,15.0,53.0,0.0,0,10,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
17550.0,39000.0,60.0,11.26,667.0,2.0,7.0,70.0,0.0,1,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
16800.0,66000.0,36.0,12.02,717.0,1.0,15.0,48.5,0.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
21000.0,53000.0,60.0,13.9,687.0,0.0,18.0,21.3,0.0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
12000.0,54000.0,60.0,11.82,662.0,0.0,10.0,89.4,0.0,0,8,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
18200.0,65000.0,60.0,17.04,682.0,1.0,10.0,71.8,0.0,1,10,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
10000.0,62000.0,36.0,20.48,702.0,0.0,20.0,40.9,0.0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
25000.0,79000.0,60.0,21.72,662.0,1.0,6.0,93.2,0.0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
10000.0,60000.0,36.0,12.66,687.0,1.0,14.0,12.0,1.0,0,10,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
12600.0,85000.0,60.0,22.94,677.0,0.0,10.0,77.8,0.0,1,10,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
30000.0,130000.0,60.0,27.02,717.0,0.0,20.0,65.8,0.0,0,10,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
12900.0,123847.0,36.0,23.65,717.0,0.0,20.0,47.7,0.0,0,10,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
18000.0,180000.0,36.0,2.44,672.0,0.0,4.0,80.8,0.0,0,10,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
15000.0,43000.0,60.0,31.23,662.0,0.0,7.0,90.2,0.0,0,7,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
29000.0,58000.0,36.0,10.25,717.0,0.0,7.0,65.5,0.0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
30000.0,86387.0,60.0,20.87,722.0,0.0,29.0,26.2,0.0,0,10,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
19200.0,43000.0,60.0,10.8,702.0,0.0,8.0,53.2,0.0,0,4,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
6000.0,45000.0,36.0,35.01,662.0,0.0,22.0,52.8,1.0,0,5,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
24000.0,120000.0,60.0,4.96,697.0,1.0,10.0,46.3,0.0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
10075.0,35000.0,36.0,4.9,682.0,0.0,7.0,38.7,0.0,0,6,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
20000.0,29000.0,60.0,23.59,667.0,1.0,8.0,89.5,0.0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
32000.0,75000.0,60.0,31.14,687.0,1.0,13.0,84.1,0.0,1,10,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
16000.0,41000.0,60.0,21.17,687.0,2.0,17.0,46.3,0.0,0,4,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
8000.0,36500.0,36.0,29.46,727.0,0.0,16.0,6.6,0.0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
7200.0,48500.0,36.0,12.5,672.0,0.0,8.0,38.8,0.0,0,5,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
11950.0,34000.0,36.0,10.2,692.0,0.0,5.0,68.4,0.0,0,4,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
8000.0,30000.0,36.0,12.16,687.0,0.0,19.0,45.9,0.0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
12000.0,92000.0,36.0,4.46,707.0,0.0,10.0,30.1,0.0,0,4,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
15000.0,60000.0,36.0,5.44,667.0,2.0,6.0,36.7,1.0,0,10,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
15000.0,45000.0,36.0,22.08,707.0,1.0,13.0,41.3,0.0,0,8,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
9600.0,52000.0,36.0,21.58,737.0,0.0,12.0,32.3,0.0,0,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
9150.0,28600.0,36.0,15.02,692.0,1.0,5.0,14.2,0.0,0,10,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
20000.0,64000.0,60.0,16.43,712.0,1.0,20.0,44.5,0.0,0,10,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
12000.0,75300.0,36.0,13.78,677.0,0.0,7.0,52.3,0.0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
9800.0,56000.0,36.0,9.28,767.0,1.0,9.0,9.3,0.0,0,10,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
15400.0,125228.0,60.0,15.23,662.0,2.0,11.0,78.3,0.0,1,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
9600.0,130000.0,36.0,10.29,667.0,0.0,13.0,17.9,0.0,0,5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
9500.0,28000.0,36.0,9.09,667.0,1.0,7.0,53.0,2.0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
10000.0,90000.0,36.0,15.29,762.0,0.0,9.0,25.2,0.0,0,10,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
15000.0,55000.0,36.0,10.26,717.0,1.0,11.0,32.4,0.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
6000.0,65000.0,36.0,14.05,672.0,0.0,9.0,68.7,0.0,0,10,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
15000.0,100000.0,60.0,5.53,737.0,0.0,15.0,34.1,0.0,0,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
33000.0,108300.0,60.0,6.78,677.0,1.0,10.0,31.6,0.0,1,5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
4600.0,48000.0,36.0,13.28,697.0,0.0,6.0,5.0,0.0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
27600.0,98000.0,60.0,25.76,677.0,0.0,12.0,59.4,0.0,0,10,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
12000.0,57000.0,36.0,12.44,682.0,0.0,8.0,88.7,0.0,0,10,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
15000.0,65000.0,36.0,32.55,797.0,1.0,9.0,4.1,0.0,0,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
26900.0,215000.0,60.0,20.26,682.0,0.0,22.0,58.3,0.0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
18000.0,80000.0,60.0,16.71,702.0,0.0,5.0,89.3,0.0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
25000.0,100000.0,60.0,8.12,687.0,1.0,8.0,59.0,0.0,1,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
23000.0,50000.0,60.0,7.69,672.0,1.0,8.0,57.7,0.0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
28000.0,85000.0,60.0,34.28,672.0,0.0,8.0,98.7,0.0,1,10,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
20150.0,60000.0,36.0,18.51,677.0,0.0,12.0,59.7,0.0,0,9,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
17400.0,56000.0,36.0,39.78,702.0,1.0,12.0,58.6,0.0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
12000.0,46000.0,60.0,38.19,687.0,0.0,15.0,52.2,0.0,1,6,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
12000.0,100000.0,60.0,27.33,702.0,0.0,12.0,51.6,0.0,0,10,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
5000.0,26000.0,36.0,16.76,682.0,0.0,4.0,32.9,0.0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
17500.0,135000.0,36.0,18.29,667.0,0.0,11.0,77.7,0.0,0,10,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
15000.0,41000.0,60.0,19.2,682.0,2.0,4.0,63.5,0.0,0,10,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
3000.0,53400.0,36.0,25.19,692.0,1.0,14.0,46.0,0.0,0,9,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
25000.0,115000.0,36.0,0.52,832.0,0.0,10.0,1.2,0.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
6000.0,28000.0,36.0,8.14,672.0,0.0,8.0,30.8,1.0,0,5,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
20000.0,106400.0,36.0,24.91,697.0,1.0,14.0,5.6,0.0,0,10,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6000.0,50000.0,36.0,12.46,722.0,1.0,19.0,33.3,0.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
22275.0,48000.0,60.0,19.48,722.0,0.0,12.0,19.4,0.0,0,7,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
12000.0,35000.0,60.0,19.82,672.0,1.0,6.0,67.4,0.0,1,10,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
9000.0,68262.0,36.0,26.88,672.0,1.0,9.0,94.0,0.0,0,10,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
7000.0,60000.0,36.0,6.98,662.0,0.0,6.0,14.8,1.0,0,9,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
11200.0,110000.0,60.0,11.65,702.0,1.0,10.0,64.6,0.0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
15000.0,68000.0,60.0,14.35,662.0,0.0,6.0,69.5,1.0,1,5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
16000.0,80000.0,60.0,18.56,697.0,0.0,11.0,85.0,0.0,1,10,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
28800.0,215000.0,36.0,9.34,812.0,1.0,18.0,25.4,0.0,0,5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
11200.0,34320.0,60.0,18.22,707.0,1.0,8.0,47.3,0.0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
21000.0,95000.0,36.0,22.31,697.0,1.0,15.0,78.2,0.0,0,10,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
5600.0,137000.0,36.0,24.52,697.0,1.0,13.0,98.2,0.0,0,9,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
4000.0,60000.0,36.0,15.9,682.0,1.0,9.0,77.3,1.0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
24000.0,80000.0,60.0,14.75,677.0,0.0,6.0,76.2,0.0,1,10,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
32000.0,94000.0,60.0,37.26,727.0,0.0,20.0,56.5,0.0,1,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1500.0,56000.0,36.0,19.37,662.0,1.0,20.0,60.0,0.0,0,5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
6000.0,49000.0,36.0,17.92,797.0,0.0,10.0,4.4,0.0,0,10,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
20000.0,68000.0,36.0,18.87,702.0,1.0,12.0,49.5,1.0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
35000.0,200000.0,60.0,7.46,717.0,0.0,6.0,91.3,0.0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
15000.0,120000.0,60.0,26.07,692.0,2.0,25.0,58.0,0.0,1,10,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
11500.0,64000.0,60.0,18.58,687.0,2.0,7.0,59.4,1.0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
9600.0,94000.0,36.0,17.85,662.0,0.0,7.0,97.1,0.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
4800.0,80000.0,36.0,38.16,677.0,1.0,26.0,80.8,0.0,0,10,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
5600.0,70000.0,36.0,21.38,787.0,0.0,16.0,26.5,0.0,0,10,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
17000.0,68000.0,60.0,26.77,717.0,0.0,19.0,28.9,0.0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
21000.0,200000.0,36.0,13.74,677.0,0.0,12.0,70.6,0.0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
16800.0,44000.0,36.0,28.34,687.0,0.0,5.0,69.7,0.0,0,10,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
12000.0,36000.0,60.0,21.2,667.0,0.0,7.0,69.3,0.0,0,10,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
24625.0,56000.0,60.0,23.17,662.0,1.0,12.0,87.0,0.0,1,10,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
9600.0,50000.0,36.0,19.01,662.0,0.0,9.0,85.0,1.0,0,4,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
17800.0,50000.0,60.0,19.73,677.0,0.0,15.0,40.3,0.0,0,7,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
27975.0,87439.0,60.0,26.5,697.0,0.0,7.0,90.8,0.0,0,10,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
30000.0,85000.0,60.0,24.24,687.0,1.0,14.0,77.7,0.0,0,8,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
5000.0,25000.0,36.0,9.12,662.0,2.0,5.0,93.4,0.0,1,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
19000.0,100000.0,36.0,32.91,697.0,0.0,18.0,62.3,0.0,0,5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
9000.0,80000.0,36.0,15.75,717.0,1.0,7.0,36.8,0.0,0,10,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
20000.0,122000.0,60.0,23.26,662.0,0.0,21.0,51.8,0.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
9975.0,45000.0,36.0,35.65,712.0,1.0,15.0,56.2,0.0,0,10,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
30000.0,80000.0,60.0,19.77,697.0,0.0,11.0,59.7,0.0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
6500.0,33000.0,36.0,26.75,747.0,0.0,13.0,11.4,0.0,0,10,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
14000.0,120000.0,36.0,14.02,722.0,0.0,28.0,20.2,0.0,0,10,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
11000.0,75000.0,36.0,13.57,677.0,0.0,12.0,60.7,0.0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
8000.0,50000.0,36.0,24.82,672.0,0.0,12.0,69.4,0.0,0,7,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
5000.0,100000.0,36.0,26.2,687.0,0.0,9.0,50.2,1.0,0,6,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3500.0,40000.0,36.0,5.88,702.0,1.0,7.0,34.9,0.0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
8000.0,50000.0,36.0,12.77,682.0,2.0,9.0,45.6,0.0,0,6,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
4000.0,62000.0,36.0,12.0,672.0,0.0,10.0,36.4,0.0,0,10,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
18000.0,75000.0,60.0,1.81,722.0,0.0,14.0,7.3,0.0,0,5,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
10800.0,81120.0,36.0,20.16,672.0,0.0,7.0,51.1,1.0,0,10,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
32000.0,141000.0,36.0,16.92,702.0,0.0,10.0,75.8,0.0,0,10,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3000.0,36000.0,36.0,19.73,662.0,3.0,14.0,38.6,2.0,0,10,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
6000.0,32000.0,36.0,33.83,662.0,2.0,13.0,24.0,0.0,0,6,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
25000.0,240000.0,36.0,24.82,692.0,0.0,8.0,64.9,0.0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3200.0,35000.0,36.0,10.32,742.0,0.0,10.0,28.9,0.0,0,10,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
10200.0,42000.0,60.0,35.29,667.0,0.0,15.0,45.8,0.0,1,4,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
18000.0,85000.0,36.0,20.08,732.0,0.0,16.0,49.4,0.0,0,10,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
6000.0,55000.0,36.0,28.91,712.0,1.0,9.0,88.5,0.0,0,10,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
35000.0,134000.0,36.0,20.71,692.0,1.0,7.0,91.0,0.0,0,10,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
24000.0,145000.0,60.0,11.74,757.0,0.0,17.0,26.7,0.0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
32000.0,130000.0,36.0,7.0,662.0,0.0,11.0,50.1,0.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
35000.0,160000.0,60.0,24.74,717.0,0.0,18.0,64.8,0.0,0,10,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
7000.0,37500.0,36.0,34.27,692.0,0.0,12.0,42.1,0.0,0,10,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
7275.0,26000.0,36.0,32.5,672.0,1.0,14.0,40.0,1.0,0,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
10000.0,32000.0,36.0,26.86,682.0,0.0,10.0,30.2,0.0,0,7,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
15000.0,140000.0,36.0,4.87,662.0,1.0,6.0,76.7,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
9000.0,105297.53,36.0,18.37,717.0,1.0,10.0,71.1,0.0,0,8,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
5000.0,40000.0,36.0,26.16,682.0,0.0,13.0,92.3,0.0,0,8,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
18000.0,55000.0,36.0,18.87,667.0,1.0,13.0,70.2,1.0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
3100.0,40000.0,36.0,5.31,707.0,0.0,8.0,38.0,0.0,0,4,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
15000.0,88000.0,36.0,32.43,702.0,0.0,19.0,36.9,0.0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
12000.0,30500.0,36.0,15.39,692.0,0.0,4.0,95.9,0.0,1,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
35000.0,78000.0,36.0,9.91,717.0,0.0,4.0,69.9,0.0,0,9,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
5500.0,58500.0,36.0,11.51,677.0,1.0,4.0,98.0,0.0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
13200.0,55000.0,36.0,6.09,677.0,0.0,3.0,94.6,0.0,0,10,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
12225.0,41500.0,60.0,25.87,672.0,1.0,10.0,47.2,0.0,1,10,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
