instance_idx,loan_amnt,annual_inc,term,dti,fico,inq_last_6mths,open_acc,revol_util,pub_rec_bankruptcies,emp_len_years,home_ownership_MORTGAGE,home_ownership_OWN,home_ownership_RENT,purpose_car,purpose_credit_card,purpose_debt_consolidation,purpose_home_improvement,purpose_house,purpose_major_purchase,purpose_medical,purpose_moving,purpose_other,purpose_renewable_energy,purpose_small_business,purpose_vacation,risk_probability,actual_target
0,-0.6899578982248097,-0.4723904179579281,-0.6699667187485197,1.0142675647184065,0.1745480467674896,-0.644045868635524,0.5217934166604318,1.4605686517944696,-0.35007885627693935,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.14878355,0
1,-0.8355547590123827,0.20526177237051774,-0.6699667187485197,0.3787325586802618,0.6624758703814201,-0.644045868635524,-0.5127583313940892,0.900952686691563,-0.35007885627693935,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.14657085,0
2,2.076382456739077,0.9100200503121014,1.4926114566824664,0.5627946096093419,-0.8013076004603714,-0.644045868635524,-0.34033304005166903,1.8046288377466275,-0.35007885627693935,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.6135718,1
3,-0.9287367499164294,-0.06579910376086058,-0.6699667187485197,0.4840762482057102,0.33719065463879977,1.6877639381549323,2.4184716214270536,-0.8442200637404639,-0.35007885627693935,10,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.12541237,0
4,0.18944714093213097,-0.1831865338508228,-0.6699667187485197,-0.27185154586151866,-0.6386649925890613,-0.644045868635524,-0.8576089140789295,1.4605686517944696,-0.35007885627693935,10,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.16832396,0
5,-0.6491907772042893,0.2775446726722186,-0.6699667187485197,-0.10746908528334623,-1.1265928162029917,-0.644045868635524,-0.8576089140789295,1.8129194446370405,-0.35007885627693935,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.22613017,0
6,1.7269499908489014,3.096577784438553,-0.6699667187485197,-0.659655238070587,0.9877610861240405,-0.644045868635524,-0.6851836227365093,0.32890081125303644,-0.35007885627693935,10,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.15908563,0
7,1.0280850590685513,0.7473835246332744,1.4926114566824664,-1.0266217169669294,0.33719065463879977,-0.644045868635524,-0.6851836227365093,0.7061234247668479,-0.35007885627693935,10,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.4509735,0
8,-0.9520322476424411,-0.7886281067778694,-0.6699667187485197,0.46671190377843824,-0.6386649925890613,-0.644045868635524,0.5217934166604318,0.1506527631091478,-0.35007885627693935,6,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0.15676357,0
9,-0.6025997817522659,-0.427213605269365,-0.6699667187485197,-0.04495744534516814,0.011905438896179432,-0.644045868635524,-0.6851836227365093,-0.16439029872656263,-0.35007885627693935,10,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0.13315773,0
10,0.21274263865814264,-0.5175672306464911,1.4926114566824664,2.2888104456801504,-1.1265928162029917,-0.644045868635524,1.3839198733725324,0.3662085422598971,-0.35007885627693935,6,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.6930386,1
11,2.3093374339991937,12.131940322151165,-0.6699667187485197,-1.4607303276487222,1.6383315176092812,1.6877639381549323,-0.5127583313940892,0.469841128390065,-0.35007885627693935,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.26327834,1
12,0.19818295257938534,0.38596902312476994,-0.6699667187485197,-0.4026629405469655,-0.8013076004603714,2.8536688415501605,-0.16790774870924885,-0.34678365031565805,-0.35007885627693935,10,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.14507405,0
13,-1.1151007317245227,-0.5627440433350541,-0.6699667187485197,1.121926500167491,-0.8013076004603714,-0.644045868635524,-0.8576089140789295,1.3735172794451287,2.274200426158888,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.09992224,0
14,-0.13668982723203246,-0.5175672306464911,-0.6699667187485197,1.7609343750910906,1.6383315176092812,-0.644045868635524,0.5217934166604318,0.3703538457051036,-0.35007885627693935,7,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.15665697,0
15,1.1445625476986097,-0.06579910376086058,1.4926114566824664,-1.6054331978759866,-0.4760223847177511,1.6877639381549323,0.17694283397559143,-1.3582376909460965,-0.35007885627693935,10,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.4951499,0
16,1.9599049681090184,-0.029657653610010135,1.4926114566824664,0.5917351836547948,-1.1265928162029917,-0.644045868635524,0.866643999345272,0.6729609972051936,-0.35007885627693935,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0.6513445,1
17,-1.0685097362724993,0.024554521616265527,-0.6699667187485197,-0.5971435981324089,-0.15073716897513073,2.8536688415501605,-0.6851836227365093,-1.105374180788487,-0.35007885627693935,7,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.1714235,0
18,-0.7190772703823243,-0.7163452064761685,-0.6699667187485197,1.3025156822111172,0.6624758703814201,-0.644045868635524,-0.34033304005166903,-1.470160883966678,-0.35007885627693935,9,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.16295922,0
19,1.147474484914361,0.7473835246332744,1.4926114566824664,-1.2546734404450977,0.1745480467674896,-0.644045868635524,0.17694283397559143,-1.1634084290213809,-0.35007885627693935,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.55986065,0
20,-0.6025997817522659,-0.33685997989223887,-0.6699667187485197,0.07890821156937014,-0.8013076004603714,-0.644045868635524,-0.8576089140789295,1.560055934479431,-0.35007885627693935,10,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.15895385,0
21,1.0164373102055453,-0.48142578049564067,1.4926114566824664,0.2386601803002698,-0.3133797768464409,-0.644045868635524,-0.8576089140789295,0.6439438730887471,-0.35007885627693935,10,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.5662822,0
22,1.1445625476986097,1.8316270291587877,-0.6699667187485197,-1.023148848081475,-0.6386649925890613,0.5218590347597042,0.866643999345272,-0.3509289537608648,-0.35007885627693935,8,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.16273871,0
23,-1.1849872249025577,0.15104959714424207,-0.6699667187485197,-1.1967922923541923,-0.9639502083316815,0.5218590347597042,-1.2024594967637698,1.688560341280839,-0.35007885627693935,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0.17080358,0
24,-0.6025997817522659,-0.6259915810990424,-0.6699667187485197,1.5745570782383742,0.6624758703814201,-0.644045868635524,-0.16790774870924885,-0.45041623644582596,-0.35007885627693935,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.15584593,0
25,-0.634631091125532,-0.37300143004308933,-0.6699667187485197,-0.4512831049433263,-0.9639502083316815,-0.644045868635524,-1.2024594967637698,0.7227046385476744,-0.35007885627693935,10,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.1513011,0
